question,answer
"Who wrote Hamlet?","Shakespeare"
"What color is grass?","Green"
"What color are bananas?","Yellow"
"What color is coal?","Black"
"What color is snow?","White"
"What is AI?","Intelligence"
"What is ML?","Learning"
"What is DL?","NeuralNet"
"What is supervised learning?","Labeled"
"What is unsupervised learning?","Unlabeled"
"What is reinforcement learning?","Reward"
"What is a dataset?","Collection"
"What is a feature?","Variable"
"What is a label in ML?","Target"
"What is training data?","Training"
"What is testing data?","Testing"
"What is overfitting?","Overfit"
"What is underfitting?","Underfit"
"What is an algorithm?","Procedure"
"What is a model in ML?","Model"
"What is accuracy?","Accuracy"
"What is loss function?","Loss"
"What is gradient descent?","Optimization"
"What is backpropagation?","Backprop"
"Who wrote Macbeth?","Shakespeare"
"Who wrote Harry Potter?","Rowling"
"Who wrote The Hobbit?","Tolkien"
"Who wrote 1984?","Orwell"
"Who wrote Animal Farm?","Orwell"
"Who wrote To Kill a Mockingbird?","Lee"
"What is the capital of USA?","Washington"
"What is the capital of Brazil?","Brasilia"
"What is the capital of Argentina?","BuenosAires"
"What is the capital of Australia?","Canberra"
"What is the capital of Egypt?","Cairo"
"What is the capital of Turkey?","Ankara"
"What is the capital of Thailand?","Bangkok"
"What is the capital of Sri Lanka?","Colombo"
"What is the capital of France?","Paris"
"What is the capital of Germany?","Berlin"
"What is the capital of Italy?","Rome"
"What is the capital of Spain?","Madrid"
"What is the capital of Portugal?","Lisbon"
"What is the capital of Nepal?","Kathmandu"
"What is the capital of India?","Delhi"
"What is the capital of China?","Beijing"
"What is the capital of Japan?","Tokyo"
"What is the capital of South Korea?","Seoul"
"What is the capital of Russia?","Moscow"
"What is the capital of Canada?","Ottawa"
"What is 2 + 2?","4"
"What is 5 + 7?","12"
"What is 10 - 3?","7"
"What is 6 x 6?","36"
"What is 12 / 3?","4"
"What is the square of 4?","16"
"What is the cube of 3?","27"
"What is the square root of 16?","4"
"What is the square root of 81?","9"
"What is 15 + 20?","35"
"Who wrote Pride and Prejudice?","Austen"
"Who wrote The Alchemist?","Coelho"
"Who wrote The Odyssey?","Homer"
"What is the largest planet?","Jupiter"
"What is the smallest planet?","Mercury"
"Which planet is red?","Mars"
"Which planet is closest to Sun?","Mercury"
"Which planet has rings?","Saturn"
"How many planets?","8"
"What galaxy do we live in?","MilkyWay"
"What star is at solar center?","Sun"
"Earth's satellite?","Moon"
"Hottest planet?","Venus"
"Boiling point of water?","100"
"Freezing point of water?","0"
"Gas humans breathe?","Oxygen"
"Gas plants absorb?","CO2"
"H2O is?","Water"
"NaCl is?","Salt"
"Gold symbol?","Au"
"Iron symbol?","Fe"
"Oxygen symbol?","O"
"Hydrogen symbol?","H"
"Continents?","7"
"Oceans?","5"
"Largest ocean?","Pacific"
"Largest continent?","Asia"
"Smallest continent?","Australia"
"Nepal continent?","Asia"
"France continent?","Europe"
"Brazil continent?","SouthAmerica"
"Egypt continent?","Africa"
"Tallest mountain?","Everest"
"Mount Everest location?","Nepal"
"Longest river?","Nile"
"Fastest land animal?","Cheetah"
"Largest mammal?","Whale"
"Largest land animal?","Elephant"
"King of jungle?","Lion"
"Cows drink?","Water"
"Bees make?","Honey"
"Days in week?","7"
"Hours in day?","24"
"Minutes in hour?","60"
"Seconds in minute?","60"
"Months in year?","12"
"Day after Monday?","Tuesday"
"Day after Friday?","Saturday"
"Day before Sunday?","Saturday"
"Season after summer?","Autumn"
"Sky color?","Blue"
"Wheel shape?","Circle"
"Triangle sides?","3"
"Square sides?","4"
"Pentagon sides?","5"
"Hexagon sides?","6"
"Opposite of hot?","Cold"
"Opposite of big?","Small"
"Opposite of fast?","Slow"
"Opposite of happy?","Sad"
"Opposite of up?","Down"
"Animal that barks?","Dog"
"Animal that meows?","Cat"
"Animal that roars?","Lion"
"Animal that moos?","Cow"
"Animal that neighs?","Horse"
"Device to call?","Phone"
"Device to compute?","Computer"
"Device to watch shows?","TV"
"Device to type?","Keyboard"
"Device to move cursor?","Mouse"
"Language in France?","French"
"Language in Japan?","Japanese"
"Language in China?","Chinese"
"Language in Nepal?","Nepali"
"Language in Spain?","Spanish"
"Currency in USA?","Dollar"
"Currency in Nepal?","Rupee"
"Currency in Japan?","Yen"
"Currency in UK?","Pound"
"Currency in Europe?","Euro"
"9 + 9?","18"
"7 x 8?","56"
"100 - 45?","55"
"81 / 9?","9"
"11 + 22?","33"
"14 + 6?","20"
"5 x 5?","25"
"64 / 8?","8"
"20 - 7?","13"
"3 x 9?","27"
